Division,Gene,Ct
Mymensing,IC,
Sylhet,IC,
Rajshahi,IC,
Rangpur,IC,38.63
Gaibandha,IC,
Barisal,IC,36.3
Chittagong,IC,
Khulna,IC,34.5
Cox's Bazar ,IC,35.21
Comilla,IC,37.54
Kishorgonj,IC,33.45
Brahmonbaria,IC,37.8
Habigonj,IC,37.65
Mymensing,ORF1ab,
Sylhet,ORF1ab,37.23
Rajshahi,ORF1ab,
Rangpur,ORF1ab,
Gaibandha,ORF1ab,38
Barisal,ORF1ab,35.7
Chittagong,ORF1ab,37.5
Khulna,ORF1ab,36.73
Cox's Bazar ,ORF1ab,
Comilla,ORF1ab,39.45
Kishorgonj,ORF1ab,36.85
Brahmonbaria,ORF1ab,
Habigonj,ORF1ab,
Mymensing,N,37.44
Sylhet,N,36.34
Rajshahi,N,38.64
Rangpur,N,37.19
Gaibandha,N,37.35
Barisal,N,
Chittagong,N,
Khulna,N,
Cox's Bazar ,N,35.31
Comilla,N,
Kishorgonj,N,
Brahmonbaria,N,37.87
Habigonj,N,37.63
