Ct,Gene,Division
,ORF1ab,Khulna
32.12,ORF1ab,Chittagong
,ORF1ab,Chittagong
35.65,ORF1ab,Chittagong
,ORF1ab,Chittagong
32.21,ORF1ab,Chittagong
,ORF1ab,Chittagong
,ORF1ab,Chittagong
,ORF1ab,Chittagong
,ORF1ab,Chittagong
36.23,ORF1ab,Chittagong
,ORF1ab,Chittagong
38.74,ORF1ab,Chittagong
39.45,ORF1ab,Chittagong
,ORF1ab,Chittagong
,ORF1ab,Chittagong
,ORF1ab,Chittagong
,ORF1ab,Chittagong
,ORF1ab,Chittagong
39.65,ORF1ab,Dhaka
,ORF1ab,Dhaka
38.65,ORF1ab,Dhaka
36.85,ORF1ab,Dhaka
,ORF1ab,Dhaka
,ORF1ab,Dhaka
,ORF1ab,Dhaka
,ORF1ab,Dhaka
,ORF1ab,Dhaka
36.42,ORF1ab,Chittagong
38.81,ORF1ab,Chittagong
,ORF1ab,Chittagong
36.5,ORF1ab,Chittagong
36.11,ORF1ab,Chittagong
,ORF1ab,Chittagong
37.15,ORF1ab,Chittagong
39.12,ORF1ab,Chittagong
,ORF1ab,Chittagong
37.41,ORF1ab,Chittagong
,ORF1ab,Chittagong
37.12,ORF1ab,Chittagong
,ORF1ab,Chittagong
32.11,ORF1ab,Chittagong
,ORF1ab,Chittagong
,ORF1ab,Chittagong
34.31,ORF1ab,Chittagong
,ORF1ab,Chittagong
,ORF1ab,Chittagong
,ORF1ab,Chittagong
36.31,ORF1ab,Chittagong
33.21,ORF1ab,Chittagong
,ORF1ab,Chittagong
37.5,ORF1ab,Chittagong
,ORF1ab,Chittagong
37.82,ORF1ab,Chittagong
35.31,ORF1ab,Chittagong
34.62,ORF1ab,Chittagong
,ORF1ab,Chittagong
35.54,ORF1ab,Chittagong
,ORF1ab,Chittagong
34.22,ORF1ab,Chittagong
,ORF1ab,Chittagong
33.64,ORF1ab,Chittagong
38.5,ORF1ab,Chittagong
35.87,ORF1ab,Chittagong
,ORF1ab,Chittagong
