Ct,Gene,Division
,FAM(1),Rajshahi
,FAM(1),Rajshahi
,FAM(1),Rajshahi
35.5,FAM(1),Rajshahi
36.05,FAM(1),Rangpur
37.65,FAM(1),Rangpur
32.91,FAM(1),Rangpur
34.75,FAM(1),Rangpur
27.15,FAM(1),Rangpur
,FAM(1),Rangpur
,FAM(1),Rangpur
,FAM(1),Rangpur
39.04,FAM(1),Rangpur
,FAM(1),Rangpur
32.08,FAM(1),Rangpur
30.69,FAM(1),Rangpur
34.48,FAM(1),Rangpur
34.48,FAM(1),Rangpur
,FAM(1),Rangpur
,FAM(1),Rangpur
,FAM(1),Rangpur
,FAM(1),Rangpur
36.08,FAM(1),Dhaka
,FAM(1),Dhaka
34.43,FAM(1),Dhaka
,FAM(1),Dhaka
36.66,FAM(1),Dhaka
,FAM(1),Dhaka
37.58,FAM(1),Dhaka
,FAM(1),Dhaka
37.41,FAM(1),Dhaka
,FAM(1),Dhaka
33.34,FAM(1),Dhaka
34.37,FAM(1),Dhaka
32.12,FAM(1),Dhaka
,FAM(1),Dhaka
37.41,FAM(1),Dhaka
37.61,FAM(1),Dhaka
,FAM(1),Dhaka
37.56,FAM(1),Dhaka
33.2,FAM(1),Barisal
37.4,FAM(1),Barisal
,FAM(1),Barisal
,FAM(1),Barisal
35.4,FAM(1),Barisal
,FAM(1),Barisal
,FAM(1),Barisal
,FAM(1),Barisal
,FAM(1),Barisal
26.14,FAM(1),Chittagong
34.83,FAM(1),Chittagong
32.72,FAM(1),Chittagong
,FAM(1),Chittagong
34.43,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
34.35,FAM(1),Khulna
37.33,FAM(1),Khulna
34.32,FAM(1),Khulna
37.68,FAM(1),Khulna
,FAM(1),Khulna
,FAM(1),Khulna
,FAM(1),Khulna
,FAM(1),Khulna
,FAM(1),Khulna
33.36,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
34.32,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
