Division,Gene,Ct
Mymensing,IC,35.44
Sylhet,IC,
Rajshahi,IC,
Rangpur,IC,
Gaibandha,IC,
Barisal,IC,
Chittagong,IC,
Khulna,IC,
Cox's Bazar ,IC,36.31
Comilla,IC,37
Kishorgonj,IC,
Brahmonbaria,IC,37.5
Habigonj,IC,
Mymensing,ORF1ab,34.32
Sylhet,ORF1ab,37.37
Rajshahi,ORF1ab,36.42
Rangpur,ORF1ab,39.73
Gaibandha,ORF1ab,36.81
Barisal,ORF1ab,37.32
Chittagong,ORF1ab,32.75
Khulna,ORF1ab,
Cox's Bazar ,ORF1ab,
Comilla,ORF1ab,
Kishorgonj,ORF1ab,
Brahmonbaria,ORF1ab,38.5
Habigonj,ORF1ab,33.32
Mymensing,N,33.67
Sylhet,N,36.34
Rajshahi,N,39.23
Rangpur,N,
Gaibandha,N,37.36
Barisal,N,35.56
Chittagong,N,38.4
Khulna,N,34.76
Cox's Bazar ,N,35.21
Comilla,N,37.4
Kishorgonj,N,37.21
Brahmonbaria,N,
Habigonj,N,
