Division,Gene,Ct
Mymensing,Cy5(1),
Sylhet,Cy5(1),37.62
Rajshahi,Cy5(1),35.57
Rangpur,Cy5(1),
Gaibandha,Cy5(1),38.37
Barisal,Cy5(1),37.5
Chittagong,Cy5(1),37.21
Khulna,Cy5(1),32.6
Cox's Bazar ,Cy5(1),36.7
Comilla,Cy5(1),38.47
Kishorgonj,Cy5(1),36.01
Brahmonbaria,Cy5(1),37.39
Habigonj,Cy5(1),35.57
Mymensing,FAM(1),37.12
Sylhet,FAM(1),
Rajshahi,FAM(1),29.56
Rangpur,FAM(1),
Gaibandha,FAM(1),27.15
Barisal,FAM(1),34.48
Chittagong,FAM(1),35.4
Khulna,FAM(1),34.43
Cox's Bazar ,FAM(1),
Comilla,FAM(1),
Kishorgonj,FAM(1),36.62
Brahmonbaria,FAM(1),39.28
Habigonj,FAM(1),37.79
Mymensing,Rox(1),
Sylhet,Rox(1),33.22
Rajshahi,Rox(1),
Rangpur,Rox(1),
Gaibandha,Rox(1),37.4
Barisal,Rox(1),32.14
Chittagong,Rox(1),37.11
Khulna,Rox(1),36.2
Cox's Bazar ,Rox(1),37.8
Comilla,Rox(1),
Kishorgonj,Rox(1),40
Brahmonbaria,Rox(1),36.69
Habigonj,Rox(1),38.4
